OPENADMET_INCHIKEY,OPENADMET_CANONICAL_SMILES,logD
ACHSSEJVMHOEFV-ZAKKQHHBSA-N,COC1=CC(/C=C/C(=O)O)=C(F)C=C1[C@@H]1C2=CC=C3NN=CC3=C2C[C@@H](C)N1CC(C)(F)F,2.6
ACJJRKPVZVNVRC-UHFFFAOYSA-N,CN(CC(O)C1=CC2=NC=CC=C2N1S(=O)(=O)C1=CC=CC=C1)C(=O)C1=CC=CC=C1,3.31
ACJQMCQTSXRKNU-CALCHBBNSA-N,CC(=O)N1CCN([C@H]2CC[C@@H](NC3=NC=NC4=C3C(C(C)C)=CN4)CC2)CC1,2.3
ACJVQDAHTUEJHD-UHFFFAOYSA-N,CC(=O)NCCN1C=CC(=O)C(O)=C1C,-2.0999999999999996
ACKNJGHDCWEMBE-UHFFFAOYSA-N,COC1=CC=CC=C1OCC(O)CN1CCC2(CC1)CN(CC1=CC=CC=C1)C(=O)O2,2.19
ACLPOFUIYHXBHE-UHFFFAOYSA-N,O=C(NCC1=CC=C(Cl)C=C1)C1=CC=C2C=CC=NC2=C1O,4.8
ACLQAQHAGYQMSL-HAQNSBGRSA-N,CC1=CSC2=NC=NC(N[C@H]3CC[C@H](N(C)C)CC3)=C12,0.3
ACMDXKZEHRFMAQ-GLXINYNESA-N,COCCOC1=NC(C2CC2)=C(C(=O)N[C@H]2C3CC4CC2C[C@](O)(C4)C3)S1,2.2
ACNVABWWXNLKFC-UHFFFAOYSA-N,N#CCCN1CCC(N2C=NC3=CN=C4NC=CC4=C32)CC1,1.72
ACOCEQRHKLKVFH-UHFFFAOYSA-N,CNC1=NC2=CC=CC(C)=C2C(=O)O1,2.3
ACONXJAUFMGPLM-UHFFFAOYSA-N,CSC1=NN=CC(C2=CN=NC(SC)=N2)=N1,2.4
ACOQCNSDOIOLDC-UHFFFAOYSA-N,N#CC1=CC(I)=CC(C#CC2=CC=CC=N2)=C1,2.3
ACQLGBLHSISSGU-BQYQJAHWSA-N,O=C(O)C1=CC=C(OC/C=C/CN2C(=O)N(C(C3=CC=CC=C3)C3=CC=CC=C3)C(=O)C3=CC=C(N4CCSCC4)C=C32)C=C1,3.6
ACQLIUULVWVTAM-UHFFFAOYSA-O,C=CC(CCC)OC[N+]1=C(/C=N/O)N(C)C=C1,-0.87
ACQYAZLJSNPFDC-RYUDHWBXSA-N,COC1=NC(N(CC(C)(C)F)C2=CC(C(F)(F)F)=CC=C2F)=CN=C1C(=O)[C@H]1C[C@@H]1C(=O)O,1.2
ACSIXWWBWUQEHA-UHFFFAOYSA-N,O=P(O)(O)C(Cl)(Cl)P(=O)(O)O,-3.18
ACSVUVRYXSVGSU-UHFFFAOYSA-N,CN1CC2(CCN(CC(O)C3COC4=CC=CC=C4O3)CC2)OC1=O,1.43
ACTPLOYOROGJBM-UHFFFAOYSA-N,O=C(O)C1=CC=C(N2N=C(OC3=C(Cl)C=CC=C3Cl)C3=C(F)C=CC=C32)C=C1,2.8
ACUVXCQVIFCTKT-UHFFFAOYSA-N,BrC1=CC=CC(Br)=C1N(CC1=CC=CC=C1)C1=NCCN1,-0.05
