logD,caco2_atob_LogPapp,caco2_btoa_LogPapp,mppb_LogUnbound,hppb_LogUnbound
2.2,,,,
3.55,,,,
,-4.366531544420414,,,
4.4,,,,
3.68,,,,
3.3,,,,
2.5,,,,
,,,,0.13353890837021734
2.1,-4.72584215073632,,,
0.9,-4.886056647693163,,,
1.6,-4.4089353929735005,,,
3.4,-5.853871964321762,,,
,-5.309803919971486,,,
-0.25,,,,
3.2,,,,
7.5,,,,
0.7,,,,
2.2,,,,
2.2,,,,
2.2,,,,
,,,,0.5682017240669953
,,,,1.066325925362038
0.67,,,,
-0.04,,,,
,,,,1.6720978579357175
,,,,0.17609125905568124
4.6,,,,
0.8,,,,
3.0,,,,
3.7,,,,
3.64,,,,
4.3,,,,
,,,-0.5228787452803417,-0.5228787452803417
3.4,,,,
1.7,,,,
3.34,,,,
1.5,,,,
3.38,,,,
2.0,,,,
3.3,,,,
5.79,,,,
2.68,,,,
2.4,,,,
2.6,,,,
3.8,,,,
,,,1.7558748556724915,
2.52,,,,1.9768083373380663
0.64,,,,
,,,,0.07918124604762586
0.92,,,,
1.8,-4.515700160653214,,,
4.1,,,,
,,,,1.8864907251724818
2.8,,,,
1.6,,,,
2.0,,,,
2.0,,,,
,,,,0.5440680443502757
1.8,,,,
1.5,,,,
3.4,,,,
4.64,,,,
1.2,,,,
4.1,,,,
2.28,,,,1.0827853703164498
3.5,,,,
2.3,,,,
2.2,,,,
1.31,,,,
2.1,,,,
1.94,,,,
1.5,,,,
1.98,,,,
2.6,,,,
,,,0.9242792860618819,1.012837224705172
2.7,,,,
2.0,,,,
3.77,,,,
,-4.3223930472795065,-4.215382707367125,,
2.76,,,,
2.07,,,,
2.0,,,,
5.8,,,,
3.42,,,,
1.0,,,,
4.0,,,,
1.7,,,,1.110252917353403
3.2,,,,
1.1,,,,
,-4.5376020021010435,,,0.5440680443502757
1.2,,,,
4.0,,,,
0.8,-7.508638306165727,-4.721246399047171,,
0.1,,,,
5.4,,,,
2.1,,,,
,,,,1.5105450102066122
2.6,,,,
-0.12,,,,
,,,1.7634279935629373,1.724275869600789
1.8,,,,
2.04,,,,
5.783,,,,
,,,,0.6785183790401136
-1.4,-5.805023396783945,-5.1528387994219695,,-0.1611509092627461
,,,,1.6989700043360187
3.18,,,,
,,,,0.43136376415898775
1.2,,,,
,,,,0.27875360095283025
3.7,,,,
2.6,,,,1.505149978319906
4.9,,,,
1.7,,,,
2.2,,,,
2.4,,,,
3.2,,,,
0.0,,,,
3.0,,,,
3.1,,,,
3.2,,,,
3.1,,,,
3.0,,,,
1.2,,,,
3.24,-5.522878745280337,-5.3979400086720375,,
2.6,,,,
2.6,,,,
2.12,,,,
2.4,,,,
0.05,,,,
,,,-0.6989700043360126,-0.6989700043360126
,,,0.3010299956639812,0.3010299956639812
,,,0.7634279935629371,1.4409090820652177
,,-4.8807441107220635,,
3.5,,,,
1.9,,,,
,,,,1.4896772916636984
3.8,,,,
3.7,,,,
1.5,,,,
,-5.257274868695302,-5.221848749616356,,
2.6,,,,1.0791812460476249
1.3,,,,
,-5.823908740944319,-5.920818753952375,,
2.8,,,0.6989700043360189,0.3010299956639812
,-7.4089353929735005,-4.284832642151542,,
,-6.0,,,
2.009,,,,
2.9,,,,
,-4.934047019686131,,,1.0413926851582251
,,,0.8450980400142568,0.8692317197309766
1.9,-4.8297382846050425,,,
,-6.958607314841775,,,
2.5700000000000003,,,,
3.8,,,,
2.8,,,,
1.3,,,,
4.5,,,,
2.7,,,,
1.41,,,,
1.42,,,,
4.1,,,,
1.7,,,,1.0569048513364727
,,,,1.9242792860618816
4.53,,,,
0.6,,,,
3.6,,,,
,,-6.3979400086720375,,
,,,-0.2924298239020593,0.11394335230683582
1.5,,,,
3.4,,,,
3.49,,,,
,,,,0.0
3.01,,,,
3.2,,,,
2.4,,,,
1.5,,,,
2.9,,,,
0.56,,,,
4.25,,,,
,-4.619788758288394,,,
4.06,,,,
2.4,,,,
0.79,,,,
2.82,,,,
3.3,,,,
2.4,,,,
2.9,,,,
0.19,,,,
0.03,,,,
4.3,,,,
3.93,,,,
1.75,,,,
1.9,,,,
3.32,,,,
1.535,,,,
1.6,,,,
,,,,-0.9586073148417772
1.7,,,,
3.8,,,,
3.1,,,,
-0.69,,,,
0.62,,,,
2.0500000000000003,,,,
,,,,-0.3872161432802681
3.53,,,,
0.3,,,,
1.3,,,1.5717088318086876,1.413299764081252
3.1,,,,
3.3,,,,
,,,0.44715803134221876,
3.87,,,,
,,,0.9542425094393249,1.0
2.5,,,,
,-5.856985199745905,,,
2.4,,,,
3.56,,,,
,-5.769551078621726,-4.85078088734462,,
4.3,,,,
2.1,,,,
2.5,,,,
2.555,,,,
-0.25,,,,
2.3,,,,
3.3,,,,
4.3,,,,
-0.2,,,,
0.2,,,,
2.4,,,,
2.9,,,,
3.1,,,,
0.93,,,,
0.48,,,,
0.48,,,,
,-5.236572006437063,,,
,,,,1.510142699402573
5.05,,,,
1.1,,,,
2.9,,,,
3.4,,,,
1.7,,,,1.146128035678238
-1.96,,,,
1.8,,,,
,,,,-0.7695510786217217
,-5.275724130399211,-4.473014931440004,,1.8394780473741983
2.9,,,,
3.5,,,,
1.16,,,,
1.9,,,,
1.5,,,,
2.55,,,,
3.0,,,,
4.03,,,,
,-5.1249387366083,,1.0791812460476249,0.6989700043360189
2.5,,,,
1.85,,,,
5.8,,,,
2.835,,,,
2.1,,,,
4.9,,,,
,,,,-0.39794000867203144
1.3,,,,
2.1,,,,
2.92,-5.3979400086720375,-5.7447274948966935,,
3.0,,,,
3.1,,,,
,,,,1.8301393874253427
1.48,,,,
1.8,,,,
2.7,,,,
4.5,,,,
2.8,,,,
,-4.5934598195660445,-3.7194216296319236,,
3.0,,,,0.5065050324048712
3.466666666666667,,,,
3.3,,,,
3.39,,,,
3.23,,,,
,-6.301029995663981,,,
0.37,,,,
2.8,-4.790484985457369,-4.950781977329818,0.47712125471966244,
,-4.600326278518962,-3.721246399047171,,
,-4.838631997765025,,,
0.9,,,,
1.1,,,,
1.1,,,,
1.55,,,,
,,,,0.8943160626844386
1.62,,,,0.49136169383427186
3.0,,,,
2.35,,,,
,,,,1.2304489213782739
,,,1.662757831681574,1.6434526764861874
3.1,,,,
3.52,,,-0.4089353929735002,-0.9208187539523587
3.3,,,,
3.4,,,,
3.67,,,,
2.475,,,,
1.4,,,,
2.8,,,,
2.3,,,,
,,,,1.6434526764861874
0.8,,,,
0.06,,,,
3.1,,,,
2.1,,,,
4.0,,,,
2.45,,,,
2.5,,,,
2.4,,,,
-0.72,,,,
2.45,,,,
1.8,,,,
3.0,-4.2441251443275085,,,0.9405164849325671
2.7,,,,
,-5.958607314841775,-5.2839966563652006,,
3.4,,,,
1.675,,,,
4.43,,,,
4.3,,,,
4.6,,,0.20411998265592324,-0.1549019599857414
3.2,,,,
1.87,,,,
2.8,,,,
3.92,,,0.04532297878665721,-0.13076828026902682
2.7,,,,
4.0,,,,
1.9,,,,
,-4.910094888560602,,,
2.1,,,,1.4107772333772097
,,,,1.404833716619938
1.9,,,,0.6989700043360189
,-6.221848749616356,,,
1.5,,,,
1.9,,,,
0.3,,,,
3.9,,,,
4.6,,,,
4.6,,,,
1.8,,,,
,-4.769551078621726,,,
2.1,,,,
2.2,,,,
-0.4,,,,
1.6,,,,
1.8,-4.838631997765025,,,
2.27,,,,
,,,,1.999130541287371
4.96,,,,
1.1,,,,
2.5,,,,
2.81,,,,
2.1,,,,
3.5,,,,
1.7,,,,
0.9,,,,
1.5,,,,
3.6,,,,
3.5,,,,
2.71,,,,
5.3,,,,
6.28,,,,
3.3,,,,
2.0,-4.2441251443275085,,0.6599162000698495,0.8109042806687004
3.8,,,,
2.3,,,,
1.86,,,,
1.9,,,,
3.0,,,,
1.84,,,,
3.88,,,,
2.7,,,,
1.07,,,,
1.8,,,,
2.9,,,,
2.9,,,,
-0.8,,,,
2.0,,,,
2.25,,,,
3.8499999999999996,,,,
4.3,,,,
2.9,,,,
2.8,,,,
4.88,,,,
,-4.958607314841775,,,
2.4,,,,
3.3,,,,
3.8,,,,
2.54,,,,
4.9,,,,
5.0,,,,
,,,,0.0
2.84,,,,
3.0,,,,
2.27,,,,
5.59,,,,
-0.46,,,,
3.2,,,,
4.3,,,,
1.3,,,,1.7993405494535817
,,,0.041392685158222794,-0.5228787452803417
5.2,,,,
0.2,,,,
,,,0.8260748027008267,0.880813592280791
2.245,,,,
1.8,,,,
0.1,,,,
,,,,0.7543483357110194
2.41,,,,
3.22,,,,
0.4,,,,
5.09,,,,
2.05,,,,
1.6,,,,
1.5,,,,
2.2,,,,-0.22184874961636047
1.9,,,,
0.78,,,,
1.0,,,,
1.4,,,,
2.15,,,,
3.7,,,,
2.6,,,,
2.6,,,,
2.1,-4.686132779630847,,,
3.0,,,,
1.42,,,,
3.7,,,,
,,,,1.7279477095447968
3.2,,,,
,,,,-0.5850266520291735
4.5,,,,
2.2,,,,
3.7,,,,
1.9480666666666666,,,,0.9872192299080046
3.7,,,,
3.2,,,,
,,,,1.2041199826559248
3.9,,,,
4.4,,,,
0.6,,,,
3.1,,,,
1.42,,,,
,,,,-0.7212463990471762
2.6,,,,
3.4,,,,
0.6,,,,
1.7,,,,
1.225,,,,
2.2,,,,
,-5.866461091629782,-4.8873949984654255,,
2.9,,,,
,,,,1.1139433523068367
2.5,,,,
,,,,1.9965116721541787
,,,1.1072099696478683,1.2576785748691843
0.1,,,,
2.8,,,,
2.8,,,,
0.55,,,,
